time_s,x_m,y_m,course_deg,speed_ms,rudder_deg,rpm_percent,rot_deg_min
8.00,-5987.30,31.25,45.00,4.501,0.00,40.0,0.00
9.00,-5984.15,34.39,45.00,4.451,0.00,40.0,0.00
10.00,-5981.04,37.51,45.00,4.402,0.00,40.0,0.00
11.00,-5977.96,40.58,45.00,4.354,0.00,40.0,0.00
12.00,-5974.91,43.63,45.00,4.307,0.00,40.0,0.00
13.00,-5971.90,46.64,45.00,4.261,0.00,40.0,0.00
14.00,-5968.92,49.62,45.00,4.216,0.00,40.0,0.00
15.00,-5965.97,52.57,45.00,4.171,0.00,40.0,0.00
16.00,-5963.05,55.49,45.00,4.128,0.00,40.0,0.00
17.00,-5960.16,58.38,45.00,4.085,0.00,40.0,0.00
18.00,-5957.30,61.24,45.00,4.044,0.00,40.0,0.00
19.00,-5954.47,64.07,45.00,4.003,0.00,40.0,0.00
20.00,-5951.67,66.87,45.00,3.963,0.00,40.0,0.00
21.00,-5948.89,69.65,45.00,3.924,0.00,40.0,0.00
22.00,-5946.15,72.39,45.00,3.885,0.00,40.0,0.00
23.00,-5943.43,75.11,45.00,3.847,0.00,40.0,0.00
24.00,-5940.73,77.81,45.00,3.810,0.00,40.0,0.00
25.00,-5938.06,80.48,45.00,3.774,0.00,40.0,0.00
26.00,-5935.42,83.12,45.00,3.739,0.00,40.0,0.00
27.00,-5932.80,85.74,45.00,3.704,0.00,40.0,0.00
28.00,-5930.21,88.34,45.00,3.670,0.00,40.0,0.00
29.00,-5927.63,90.91,45.00,3.636,0.00,40.0,0.00
30.00,-5925.09,93.46,45.00,3.604,0.00,40.0,0.00
31.00,-5922.56,95.98,45.00,3.572,0.00,40.0,0.00
32.00,-5920.06,98.48,45.00,3.540,0.00,40.0,0.00
33.00,-5917.58,100.97,45.00,3.509,0.00,40.0,0.00
34.00,-5915.12,103.43,45.00,3.479,0.00,40.0,0.00
35.00,-5912.68,105.87,45.00,3.450,0.00,40.0,0.00
